ID,Title,Content,Short Description,Sku,Global Unique Id,Regular Price,Sale Price,Stock Status,Image URL,Image Filename,Image Path,Image ID,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Markalar,Ürün kategorileri,Product Tags
24972,"Acana Adult Large Büyük Irk Tahılsız Köpek Maması 11,4 Kg","<p data-pm-slice=""1 1 []"">Acana Adult Large Breed, büyük ırk yetişkin köpekler için özel olarak formüle edilmiş yüksek kaliteli bir kuru mamadır. Kanada'da üretilen bu mama, köpeğinizin sağlıklı, mutlu ve güçlü kalmasını destekleyecek zengin içeriklere sahiptir</p>","<div>Büyük cins köpeğinizin bütün hayvansal içeriklerden zengin ve çeşitli bir diyete biyolojik olarak aynı ihtiyacı vardır. ACANA Adult Large Breed, besleyici WholePrey oranlarında et, organ, kıkırdak ve kemik içeren serbest dolaşan tavuk, serbest avlanan pisi balığı ve kafessiz yumurtalarla doludur ve köpeğinizin en üst düzeyde sağlık için ihtiyaç duyduğu her şeyi en doğal ve biyolojik olarak temin edilebilir şekilde sunar. formlar. En iyi malzemeler, köpeğinizin en iyi besini alması, onu mutlu, sağlıklı ve güçlü tutması anlamına gelir.</div>
<div></div>",,,10285.6,8426.5,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4656-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4656.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4657.webp,IMG_4655-2-1.webp|IMG_4656-2-1.webp|IMG_4655.webp|IMG_4656.webp|IMG_4657.webp,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4656-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4655.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4656.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4657.webp,25084|25086|25009|25010|25011,IMG_4655-2|IMG_4656-2|IMG_4655|IMG_4656|IMG_4657,||||,||||,||||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2-1.webp,ACANA,Köpek>Köpek Kuru Maması>Hipoalerjenik Köpek Maması|Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması,
24980,Acana Adult Large Büyük Irk Tahılsız Köpek Maması 17 Kg,"<div><strong>Acana Adult Large Büyük Irk Tahılsız Köpek Maması</strong></div>
<div><strong> </strong></div>
<div>Büyük cins köpeğinizin bütün hayvansal içeriklerden zengin ve çeşitli bir diyete biyolojik olarak aynı ihtiyacı vardır. ACANA Adult Large Breed, besleyici WholePrey oranlarında et, organ, kıkırdak ve kemik içeren serbest dolaşan tavuk, serbest avlanan pisi balığı ve kafessiz yumurtalarla doludur ve köpeğinizin en üst düzeyde sağlık için ihtiyaç duyduğu her şeyi en doğal ve biyolojik olarak temin edilebilir şekilde sunar. formlar. En iyi malzemeler, köpeğinizin en iyi besini alması, onu mutlu, sağlıklı ve güçlü tutması anlamına gelir.</div>
<div><b> </b></div>",,,,14541.3,11632.5,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4656-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655-3.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4656-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4657-2.webp,IMG_4655-2-1.webp|IMG_4656-2-1.webp|IMG_4655-2.webp|IMG_4655-3.webp|IMG_4656-2.webp|IMG_4657-2.webp,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4656-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4655-3.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4656-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4657-2.webp,25084|25086|25012|25013|25014|25015,IMG_4655-2|IMG_4656-2|IMG_4655-2|IMG_4655-3|IMG_4656-2|IMG_4657-2,|||||,|||||,|||||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4655-2-1.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Tahılsız Köpek Maması,acana|köpek maması|kuru mama
24981,"Acana Grass - Fed Lamb Kuzu ve Elma Köpek Maması 11,4 Kg","<div><strong>Acana Grass - Fed Lamb Kuzu ve Elma Köpek Maması</strong></div>
<div><strong> </strong></div>
<div>ACANA Grass-Fed Lamb, WholePrey oranlarında et, organ ve kıkırdaklardan oluşan %50 kaliteli kuzu malzemeleri ile doldurulmuş, lezzetli, bütün Kırmızı Lezzetli elmalar ile tamamlanarak köpeğinizin mutlu kalması için ihtiyaç duyduğu protein ve besinleri sağlar, sağlıklı ve güçlü.</div>
<div></div>",,,,13323.1,10658.5,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4660-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4658.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4660-2.webp,IMG_4658-2-1.webp|IMG_4660-2-1.webp|IMG_4658.webp|IMG_4658-2.webp|IMG_4660-2.webp,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4660-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4658.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4660-2.webp,25088|25089|25016|25017|25018,IMG_4658-2|IMG_4660-2|IMG_4658|IMG_4658-2|IMG_4660-2,||||,||||,ACANA EN İYİY MAMA||||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2-1.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması,acana|köpek maması|kuru mama
24982,Acana Grass - Fed Lamb  Kuzu ve Elmalı Köpek Maması 17 Kg,"<div><strong>Acana Grass - Fed Lamb Kuzu ve Elma Köpek Maması</strong></div>
<div><strong> </strong></div>
<div>ACANA Grass-Fed Lamb, WholePrey oranlarında et, organ ve kıkırdaklardan oluşan %50 kaliteli kuzu malzemeleri ile doldurulmuş, lezzetli, bütün Kırmızı Lezzetli elmalar ile tamamlanarak köpeğinizin mutlu kalması için ihtiyaç duyduğu protein ve besinleri sağlar, sağlıklı ve güçlü.</div>
<div></div>
<div></div>","ACANA Grass-Fed Lamb, WholePrey oranlarında et, organ ve kıkırdaklardan oluşan %50 kaliteli kuzu malzemeleri ile doldurulmuş, lezzetli, bütün Kırmızı Lezzetli elmalar ile tamamlanarak köpeğinizin mutlu kalması için ihtiyaç duyduğu protein ve besinleri sağlar, sağlıklı ve güçlü.",,,19506.3,15605.0,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2-1.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4660-2-1.webp,IMG_4658-2-1.webp|IMG_4660-2-1.webp,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2-1.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4660-2-1.webp,25088|25089,IMG_4658-2|IMG_4660-2,|,|,ACANA EN İYİY MAMA|,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4658-2-1.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|kuru mama|yetişkin köpek
24983,"Kg Acana Red Meat Yetişkin Köpek Maması 14,5 Kg","<div id=""productDetailTab"" class=""box col-12"">

ACANA Red Meat , otla beslenen kuzu eti, çiftlikte yetiştirilen sığır eti ve Yorkshire domuzundan elde edilen et, organlar ve kıkırdak dahil olmak üzere bütün hayvansal içeriklerden elde edilen besleyici proteinle doludur ve köpeğinize sağlıklı, mutlu ve gelişmek için ihtiyaç duyduğu her şeyi verir.
<div></div>
<div></div>
<div></div>
</div>
<div class=""col col-12""></div>","ACANA Red Meat , otla beslenen kuzu eti, çiftlikte yetiştirilen sığır eti ve Yorkshire domuzundan elde edilen et, organlar ve kıkırdak dahil olmak üzere bütün hayvansal içeriklerden elde edilen besleyici proteinle doludur ve köpeğinize sağlıklı, mutlu ve gelişmek için ihtiyaç duyduğu her şeyi verir.",,,13477.3,10781.8,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4684-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4685-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4631.jpg|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4631-2.jpg,IMG_4684-2.webp|IMG_4685-2.webp|IMG_4631.jpg|IMG_4631-2.jpg,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4684-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4685-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4631.jpg|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4631-2.jpg,25023|25033|24984|25008,IMG_4684-2|IMG_4685-2|IMG_4631|IMG_4631-2,|||,|||,|||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4684-2.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|acana red|kuru mama|yetişkin köpek maması
24985,"Acana Red Meat Yetişkin Köpek Maması 9,7 Kg","<div id=""productDetailTab"" class=""box col-12"">

ACANA Red Meat , otla beslenen kuzu eti, çiftlikte yetiştirilen sığır eti ve Yorkshire domuzundan elde edilen et, organlar ve kıkırdak dahil olmak üzere bütün hayvansal içeriklerden elde edilen besleyici proteinle doludur ve köpeğinize sağlıklı, mutlu ve gelişmek için ihtiyaç duyduğu her şeyi verir.
<div></div>
<div></div>
</div>
<div class=""col col-12""></div>",,,,9930.6,7944.5,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4684-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4685-2.webp,IMG_4684-2.webp|IMG_4685-2.webp,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4684-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4685-2.webp,25023|25033,IMG_4684-2|IMG_4685-2,|,|,|,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4684-2.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|köpek maması|kuru mama|yetişkin köpek maması
24986,"Acana Ranchlands Kuzu ve Bizon Etli Tahılsız Köpek Maması 11,4 Kg","<div>ACANA Ranchlands çiftlikte yetiştirilmiş sığır eti, Yorkshire domuz eti, otla beslenmiş kuzu, çiftlikte yetiştirilmiş bizon ve vahşi yakalanmış balıklarla doludur. Tabiat Ana'nın köpeğinize vahşi doğada sağlayacağı diyeti yansıtarak, köpeğinizin mutlu, sağlıklı ve güçlü kalması için ihtiyaç duyduğu her şeyi alması için et, organlar, kıkırdak ve kemik dahil tüm hayvansal malzemeleri kullanıyoruz.</div>",,,,14803.1,11842.5,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4682.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4683-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4630.jpg|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4630-2-2-2.jpg|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4630-2-2-3.jpg,IMG_4682.webp|IMG_4683-2.webp|IMG_4630.jpg|IMG_4630-2-2-2.jpg|IMG_4630-2-2-3.jpg,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4682.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4683-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4630.jpg|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4630-2-2-2.jpg|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4630-2-2-3.jpg,25103|25104|24987|24994|24995,IMG_4682|IMG_4683-2|IMG_4630|IMG_4630-2-2-2|IMG_4630-2-2-3,||||,||||,||||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4682.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Tahılsız Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|kuru mama|tahılsız|yetişkin köpek
24988,Acana Ranshlands Kuzu ve Bizon Etli Tahılsız Köpek Maması 2 Kg,"<div><strong> </strong>ACANA Ranchlands çiftlikte yetiştirilmiş sığır eti, Yorkshire domuz eti, otla beslenmiş kuzu, çiftlikte yetiştirilmiş bizon ve vahşi yakalanmış balıklarla doludur. Tabiat Ana'nın köpeğinize vahşi doğada sağlayacağı diyeti yansıtarak, köpeğinizin mutlu, sağlıklı ve güçlü kalması için ihtiyaç duyduğu her şeyi alması için et, organlar, kıkırdak ve kemik dahil tüm hayvansal malzemeleri kullanıyoruz.</div>
<div><b> </b></div>",,,,3901.3,3121.0,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4682.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4683-2.webp,IMG_4682.webp|IMG_4683-2.webp,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4682.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4683-2.webp,25103|25104,IMG_4682|IMG_4683-2,|,|,|,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4682.webp,ACANA,Haftanın Fırsatları|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Tahılsız Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|kuru mama|tahılsız|yetişkin köpek maması
24989,"Acana Prairie Poultry Köpek Maması 14,5 Kg","ACANA CLASSICS / PRAIRIE POULTRY / TÜM IRKLAR VE YAŞAM EVRELERİ İÇİN Modern köpekler atalarının yediği gıdaları sadece yiyebiliyor değillerdir aynı zamanda sağlıklarının en üst seviyede olması için buna ihtiyaçları bulunmaktadır.,işte tam da bu sebeple ACANA Prairie Poultry yerel geniş arazi çiftliklerinden günlük olarak TAZE veya ÇİĞ WholePrey™ oranlarında teslim edilen serbest dolaşan tavuk, hindi ve kuluçka yumurtaları içermektedir.Yüksek glisemikli tahıllar içermeyen ACANA, kondisyonu en üst noktasına çıkarmak için besleyici et proteini ve omega-3 yağ asitleri ile doludur. ACANA Classics kan şekeri seviyesini stabil tutmak ve yap depolama olasılığını azaltmak için düşük glisemikli işlenmemiş yulaflar içermektedir.Ödüllü NorthStar® mutfaklarımızda özel olarak taze, güvenilir ve sürdürülebilir içeriklerle hazırlanan ACANA’mızı seveceğinizi düşünüyoruz.",,,,12413.1,9930.5,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4670-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4671-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4626-e1744537249470.jpg|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4626-2.jpg|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4626-3.jpg|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4652-2.png,IMG_4670-2.webp|IMG_4671-2.webp|IMG_4626-e1744537249470.jpg|IMG_4626-2.jpg|IMG_4626-3.jpg|IMG_4652-2.png,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4670-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4671-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4626-e1744537249470.jpg|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4626-2.jpg|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4626-3.jpg|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4652-2.png,25099|25100|24990|24992|24993|25007,IMG_4670-2|IMG_4671-2|IMG_4626|IMG_4626-2|IMG_4626-3|IMG_4652-2,|||||,|||||,|||||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4670-2.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Tahılsız Köpek Maması|Köpek>Köpek Kuru Maması>Yavru Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|tahılsız.kuru mama.yetişki köpek
24996,Acana Prairie poultry Köpek Maması 2 Kg,"<p style=""font-weight: 400;""><span style=""font-style: inherit; font-weight: inherit;"">ACANA CLASSICS / PRAIRIE POULTRY / </span><span style=""font-style: inherit; font-weight: inherit;"">TÜM IRKLAR VE YAŞAM EVRELERİ İÇİN</span><span style=""font-style: inherit; font-weight: inherit;""> </span><span style=""font-style: inherit; font-weight: inherit;"">Modern köpekler atalarının yediği gıdaları sadece yiyebiliyor değillerdir aynı zamanda sağlıklarının en üst seviyede olması için buna ihtiyaçları bulunmaktadır.,i</span><span style=""font-style: inherit; font-weight: inherit;"">şte tam da bu sebeple ACANA Prairie Poultry yerel geniş arazi çiftliklerinden günlük olarak TAZE veya ÇİĞ WholePrey™ oranlarında teslim edilen serbest dolaşan tavuk, hindi ve kuluçka yumurtaları içermektedir.</span><span style=""font-style: inherit; font-weight: inherit;"">Yüksek glisemikli tahıllar içermeyen ACANA, kondisyonu en üst noktasına çıkarmak için besleyici et proteini ve omega-3 yağ asitleri ile doludur. ACANA Classics kan şekeri seviyesini stabil tutmak ve yap depolama olasılığını azaltmak için düşük glisemikli işlenmemiş yulaflar içermektedir.</span><span style=""font-style: inherit; font-weight: inherit;"">Ödüllü NorthStar® mutfaklarımızda özel olarak taze, güvenilir ve sürdürülebilir içeriklerle hazırlanan ACANA’mızı seveceğinizi düşünüyoruz.</span></p>
<p style=""font-weight: 400;""><span style=""font-style: inherit; font-weight: inherit;""> </span></p>
<span style=""font-weight: 400;"">Daha da önemlisi köpeğinizin çok seveceğini düşünüyoruz.</span>",,,,3022.3,2417.8,instock,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4670-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4671-2.webp|https://sepetmama.com/wp-content/uploads/2025/04/IMG_4652.png,IMG_4670-2.webp|IMG_4671-2.webp|IMG_4652.png,/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4670-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4671-2.webp|/home/merkur3/sepetmama.com/wp-content/uploads/2025/04/IMG_4652.png,25099|25100|25006,IMG_4670-2|IMG_4671-2|IMG_4652,||,||,||,https://sepetmama.com/wp-content/uploads/2025/04/IMG_4670-2.webp,ACANA,Kampanyalar|Köpek>Köpek Kuru Maması>Özel Irk Köpek Maması|Köpek>Köpek Kuru Maması>Tahılsız Köpek Maması|Köpek>Köpek Kuru Maması>Yavru Köpek Maması|Köpek>Köpek Kuru Maması>Yetişkin Köpek Maması,acana|kuru mama|tavuklu|yavru.yetişkin.tahılsız
